valeur_fonciere,code_postal,surface_reelle_bati,nombre_pieces_principales,surface_terrain,exterieur
373350.0,31860,80.0,4.0,730.0,1
225000.0,31860,85.0,4.0,0.0,0
315000.0,31860,100.0,4.0,1372.0,1
206350.0,31860,84.0,4.0,423.0,1
354365.0,31430,200.0,2.0,2100.0,1
324760.0,31470,97.0,4.0,810.0,1
324635.0,31470,171.0,5.0,488.0,1
340000.0,31470,92.0,4.0,2492.0,1
257000.0,31470,89.0,4.0,340.0,1
106885.0,31470,97.0,4.0,1000.0,1
446700.0,31470,167.0,6.0,0.0,0
463000.0,31470,127.0,4.0,500.0,1
475000.0,31470,160.0,6.0,1200.0,1
335500.0,31470,110.0,5.0,900.0,1
266600.0,31470,79.0,4.0,938.0,1
225000.0,31470,95.0,4.0,484.0,1
403355.0,31470,123.0,5.0,813.0,1
390000.0,31470,81.0,2.0,1854.0,1
332360.0,31470,84.0,4.0,1500.0,1
168000.0,31470,67.0,4.0,2744.0,1
240450.0,31380,93.0,4.0,0.0,0
331000.0,31380,97.0,4.0,500.0,1
433000.0,31380,165.0,6.0,0.0,0
298050.0,31380,96.0,4.0,582.0,1
410000.0,31380,96.0,4.0,1000.0,1
341000.0,31380,127.0,6.0,1000.0,1
175000.0,31380,78.0,3.0,816.0,1
120000.0,31380,78.0,3.0,816.0,1
437500.0,31380,120.0,5.0,936.0,1
374800.0,31380,151.0,5.0,1049.0,1
352000.0,31380,138.0,4.0,1205.0,1
352850.0,31380,105.0,5.0,265.0,1
214000.0,31380,117.0,5.0,1000.0,1
465900.0,31380,130.0,4.0,559.0,1
404500.0,31380,95.0,5.0,1204.0,1
259100.0,31380,84.0,4.0,341.0,1
249000.0,31380,78.0,4.0,608.0,1
366290.0,31380,98.0,4.0,1200.0,1
252200.0,31460,30.0,1.0,125.0,1
210000.0,31460,160.0,4.0,724.0,1
145000.0,31460,120.0,4.0,115.0,1
389630.0,31590,184.0,5.0,120.0,1
195000.0,31590,60.0,2.0,458.0,1
72000.0,31590,108.0,4.0,911.0,1
190900.0,31390,61.0,3.0,1000.0,1
112600.0,31390,90.0,3.0,240.0,1
196380.0,31390,70.0,3.0,600.0,1
244000.0,31390,94.0,4.0,756.0,1
140100.0,31390,80.0,4.0,1156.0,1
187490.0,31390,60.0,2.0,432.0,1
258700.0,31390,110.0,3.0,1093.0,1
289700.0,31390,102.0,5.0,2011.0,1
188700.0,31390,90.0,4.0,265.0,1
188700.0,31390,90.0,4.0,265.0,1
260000.0,31390,105.0,5.0,2176.0,1
60000.0,31390,50.0,4.0,775.0,1
205000.0,31110,120.0,3.0,68.0,1
228400.0,31310,97.0,4.0,1084.0,1
266600.0,31310,97.0,4.0,1551.0,1
224900.0,31310,77.0,3.0,500.0,1
48000.0,31310,145.0,4.0,112.0,1
133150.0,31310,65.0,2.0,165.0,1
277100.0,31310,88.0,5.0,325.0,1
172800.0,31310,146.0,4.0,205.0,1
253700.0,31110,120.0,4.0,68.0,1
113910.0,31110,42.0,3.0,701.0,1
110000.0,31110,34.0,2.0,149.0,1
50000.0,31110,60.0,3.0,156.0,1
221500.0,31110,92.0,6.0,800.0,1
248850.0,31110,78.0,4.0,500.0,1
253800.0,31110,109.0,5.0,837.0,1
375000.0,31110,129.0,5.0,603.0,1
287800.0,31460,105.0,4.0,1000.0,1
272250.0,31460,105.0,4.0,835.0,1
